Plate	 Time In	 Time Out	 Duration	 Speed		 Fine
AKL50	 11:04:00	 11:05:50	 0:01:50	 88.04km/h	 $30
BAL560	 11:04:00	 11:05:55	 0:01:55	 84.21km/h	 $30
DCZ584	 11:04:01	 11:05:56	 0:01:55	 84.21km/h	 $30
DDA970	 11:04:02	 11:05:57	 0:01:55	 84.21km/h	 $30
ED116	 11:04:03	 11:05:48	 0:01:45	 92.23km/h	 $80
EUE969	 11:04:04	 11:05:59	 0:01:55	 84.21km/h	 $30
FE829	 11:04:05	 11:06:05	 0:02:00	 80.70km/h	 $30
FGA763	 11:04:06	 11:05:59	 0:01:53	 85.70km/h	 $30
FN806	 11:04:07	 11:04:34	 0:00:27	 358.67km/h	 $630
FTA399	 11:04:08	 11:06:04	 0:01:56	 83.48km/h	 $30
FX961	 11:04:09	 11:05:47	 0:01:38	 98.82km/h	 $120
GEL840	 11:04:11	 11:05:48	 0:01:37	 99.84km/h	 $120
GRN22	 11:04:12	 11:05:47	 0:01:35	 101.94km/h	 $170
GW105	 11:04:12	 11:06:12	 0:02:00	 80.70km/h	 $30
HFE58	 11:04:13	 11:06:09	 0:01:56	 83.48km/h	 $30
HFF803	 11:04:14	 11:05:50	 0:01:36	 100.87km/h	 $120
HU863	 11:04:14	 11:06:08	 0:01:54	 84.95km/h	 $30
HWR984	 11:04:14	 11:06:11	 0:01:57	 82.77km/h	 $30
IES281	 11:04:15	 11:06:00	 0:01:45	 92.23km/h	 $80
IJ286	 11:04:16	 11:05:53	 0:01:37	 99.84km/h	 $120
IR837	 11:04:16	 11:05:57	 0:01:41	 95.88km/h	 $80
JB818	 11:04:17	 11:06:04	 0:01:47	 90.50km/h	 $30
JC806	 11:04:17	 11:05:48	 0:01:31	 106.42km/h	 $230
JH92	 11:04:17	 11:06:11	 0:01:54	 84.95km/h	 $30
JX741	 11:04:20	 11:06:13	 0:01:53	 85.70km/h	 $30
JY45	 11:04:21	 11:06:19	 0:01:58	 82.07km/h	 $30
KHH28	 11:04:22	 11:05:48	 0:01:26	 112.60km/h	 $300
KJ923	 11:04:23	 11:05:45	 0:01:22	 118.10km/h	 $400
KK809	 11:04:24	 11:06:00	 0:01:36	 100.87km/h	 $120
KL724	 11:04:24	 11:06:00	 0:01:36	 100.87km/h	 $120
KU762	 11:04:24	 11:06:04	 0:01:40	 96.84km/h	 $120
KY265	 11:04:25	 11:06:06	 0:01:41	 95.88km/h	 $80
LDC67	 11:04:26	 11:05:50	 0:01:24	 115.29km/h	 $300
LN155	 11:04:26	 11:05:47	 0:01:21	 119.56km/h	 $400
LO625	 11:04:26	 11:06:13	 0:01:47	 90.50km/h	 $30
LYE407	 11:04:27	 11:06:02	 0:01:35	 101.94km/h	 $170
MBZ5	 11:04:27	 11:06:26	 0:01:59	 81.38km/h	 $30
MI99	 11:04:28	 11:06:01	 0:01:33	 104.13km/h	 $170
MK273	 11:04:28	 11:05:56	 0:01:28	 110.05km/h	 $230
NG542	 11:04:28	 11:06:03	 0:01:35	 101.94km/h	 $170
NP366	 11:04:28	 11:06:15	 0:01:47	 90.50km/h	 $30
OB98	 11:04:29	 11:06:03	 0:01:34	 103.02km/h	 $170
OC574	 11:04:29	 11:06:12	 0:01:43	 94.02km/h	 $80
OS808	 11:04:30	 11:06:04	 0:01:34	 103.02km/h	 $170
PO549	 11:04:31	 11:05:50	 0:01:19	 122.58km/h	 $630
RE739	 11:04:31	 11:06:16	 0:01:45	 92.23km/h	 $80
RS437	 11:04:31	 11:06:03	 0:01:32	 105.26km/h	 $170
RT303	 11:04:32	 11:06:17	 0:01:45	 92.23km/h	 $80
SG937	 11:04:32	 11:05:57	 0:01:25	 113.93km/h	 $300
TA6	 11:04:32	 11:06:24	 0:01:52	 86.46km/h	 $30
TB72	 11:04:33	 11:06:25	 0:01:52	 86.46km/h	 $30
TX950	 11:04:33	 11:06:26	 0:01:53	 85.70km/h	 $30
UU771	 11:04:33	 11:05:50	 0:01:17	 125.77km/h	 $630
WT19	 11:04:33	 11:05:56	 0:01:23	 116.67km/h	 $400
XR677	 11:04:33	 11:06:07	 0:01:34	 103.02km/h	 $170
YS178	 11:04:34	 11:05:58	 0:01:24	 115.29km/h	 $300
