0.  AKL50	 11:04:00	 11:05:50	 0:01:50	 88.04km/h	 None
1.  BST1	 11:04:00	 11:06:05	 0:02:05	 77.47km/h	 None
2.  CKZ52	 11:04:00	 11:06:20	 0:02:20	 69.17km/h	 None
3.  D139	 11:04:00	 11:06:14	 0:02:14	 72.27km/h	 None
4.  DB356	 11:04:00	 11:31:12	 0:27:12	 5.93km/h	 None
5.  DE488	 11:04:03	 11:06:09	 0:02:06	 76.86km/h	 None
6.  ED116	 11:04:03	 11:05:48	 0:01:45	 92.23km/h	 30
7.  FB992	 11:04:04	 11:06:12	 0:02:08	 75.66km/h	 None
8.  FE829	 11:04:05	 11:06:05	 0:02:00	 80.70km/h	 None
9.  FN806	 11:04:07	 11:04:34	 0:00:27	 358.67km/h	 630
10.  FW67	 11:04:09	 11:06:22	 0:02:13	 72.81km/h	 None
11.  FX961	 11:04:09	 11:05:47	 0:01:38	 98.82km/h	 80
12.  GJ860	 11:04:12	 11:06:14	 0:02:02	 79.38km/h	 None
13.  GRN22	 11:04:12	 11:05:47	 0:01:35	 101.94km/h	 120
14.  GW105	 11:04:12	 11:06:12	 0:02:00	 80.70km/h	 None
15.  GY413	 11:04:12	 11:06:14	 0:02:02	 79.38km/h	 None
16.  HB606	 11:04:13	 11:06:24	 0:02:11	 73.92km/h	 None
17.  HFE58	 11:04:13	 11:06:09	 0:01:56	 83.48km/h	 None
18.  HU863	 11:04:14	 11:06:08	 0:01:54	 84.95km/h	 None
19.  IJ286	 11:04:16	 11:05:53	 0:01:37	 99.84km/h	 80
20.  IR837	 11:04:16	 11:05:57	 0:01:41	 95.88km/h	 30
21.  JB818	 11:04:17	 11:06:04	 0:01:47	 90.50km/h	 None
22.  JC806	 11:04:17	 11:05:48	 0:01:31	 106.42km/h	 170
23.  JH92	 11:04:17	 11:06:11	 0:01:54	 84.95km/h	 None
24.  JX741	 11:04:20	 11:06:13	 0:01:53	 85.70km/h	 None
25.  JY45	 11:04:21	 11:06:19	 0:01:58	 82.07km/h	 None
26.  KHH28	 11:04:22	 11:05:48	 0:01:26	 112.60km/h	 230
27.  KJ923	 11:04:23	 11:05:45	 0:01:22	 118.10km/h	 300
28.  KK809	 11:04:24	 11:06:00	 0:01:36	 100.87km/h	 80
29.  KL724	 11:04:24	 11:06:00	 0:01:36	 100.87km/h	 80
30.  KU762	 11:04:24	 11:06:04	 0:01:40	 96.84km/h	 80
31.  KY265	 11:04:25	 11:06:06	 0:01:41	 95.88km/h	 30
32.  LDC67	 11:04:26	 11:05:50	 0:01:24	 115.29km/h	 230
33.  LN155	 11:04:26	 11:05:47	 0:01:21	 119.56km/h	 300
34.  LO625	 11:04:26	 11:06:13	 0:01:47	 90.50km/h	 None
35.  MBZ5	 11:04:27	 11:06:26	 0:01:59	 81.38km/h	 None
36.  MI99	 11:04:28	 11:06:01	 0:01:33	 104.13km/h	 120
37.  MK273	 11:04:28	 11:05:56	 0:01:28	 110.05km/h	 170
38.  NG542	 11:04:28	 11:06:03	 0:01:35	 101.94km/h	 120
39.  NP366	 11:04:28	 11:06:15	 0:01:47	 90.50km/h	 None
40.  OB98	 11:04:29	 11:06:03	 0:01:34	 103.02km/h	 120
41.  OC574	 11:04:29	 11:06:12	 0:01:43	 94.02km/h	 30
42.  OS808	 11:04:30	 11:06:04	 0:01:34	 103.02km/h	 120
43.  PO549	 11:04:31	 11:05:50	 0:01:19	 122.58km/h	 630
44.  RE739	 11:04:31	 11:06:16	 0:01:45	 92.23km/h	 30
45.  RS437	 11:04:31	 11:06:03	 0:01:32	 105.26km/h	 120
46.  RT303	 11:04:32	 11:06:17	 0:01:45	 92.23km/h	 30
47.  SG937	 11:04:32	 11:05:57	 0:01:25	 113.93km/h	 230
48.  TA6	 11:04:32	 11:06:24	 0:01:52	 86.46km/h	 None
49.  TB72	 11:04:33	 11:06:25	 0:01:52	 86.46km/h	 None
50.  TX950	 11:04:33	 11:06:26	 0:01:53	 85.70km/h	 None
51.  UU771	 11:04:33	 11:05:50	 0:01:17	 125.77km/h	 630
52.  WT19	 11:04:33	 11:05:56	 0:01:23	 116.67km/h	 300
53.  XR677	 11:04:33	 11:06:07	 0:01:34	 103.02km/h	 120
54.  YS178	 11:04:34	 11:05:58	 0:01:24	 115.29km/h	 230
